Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Tevita Kuridrani,Brumbies,6,1,1,5,60,51,371,0,2,1,7,4,11,0,0,3,59,1
Ben Lam,Hurricanes,6,5,0,25,52,37,472,0,4,2,11,6,10,0,0,3,65,1
Ngani Laumape,Hurricanes,6,2,1,10,98,44,443,0,5,3,15,6,41,0,0,8,178,0
Rob Leota,Rebels,6,0,0,0,18,10,44,2,0,0,2,0,8,2,0,0,0,0
Dillyn Leyds,Stormers,6,0,1,0,92,31,299,1,2,2,7,5,50,0,0,8,357,0
Tomas Lezana,Jaguares,6,0,0,0,47,29,140,2,0,0,6,0,20,3,1,2,29,0
Noah Lolesio,Brumbies,6,0,3,32,175,35,232,0,1,5,17,6,102,0,0,34,953,4
Ryan Lonergan,Brumbies,6,1,0,22,146,3,22,0,0,1,0,0,124,0,0,15,456,0
Wilco Louw,Stormers,6,0,0,0,5,4,18,0,0,0,1,0,1,0,0,0,0,0
Jack Maddocks,Waratahs,6,0,1,0,66,30,310,0,4,3,5,7,27,0,0,11,524,0
Frans Malherbe,Stormers,6,0,0,0,10,7,23,0,0,0,0,0,1,0,0,0,0,0
Makazole Mapimpi,Sharks,6,5,1,25,33,23,332,0,3,0,11,0,7,0,0,3,85,0
Joe Marchant,Blues,6,3,1,15,58,30,298,1,3,2,16,3,22,0,0,3,73,0
Len Massyn,Lions,6,0,1,0,37,29,225,1,0,1,4,2,17,19,0,1,35,0
Connal McInerney,Brumbies,6,0,0,0,49,32,103,1,0,0,4,0,14,0,0,0,0,0
Bill Meakes,Rebels,6,1,1,5,84,44,313,0,3,1,16,1,31,0,0,2,53,0
John-Hubert Meyer,Sharks,6,0,0,0,8,5,21,0,0,1,0,0,3,0,0,0,0,0
Will Miller,Brumbies,6,1,0,5,43,15,79,0,1,1,6,1,21,1,0,0,0,0
Domingo Miotti,Jaguares,6,1,3,46,175,17,88,0,1,8,7,1,99,0,0,47,1509,0
Salmaan Moerat,Stormers,6,0,0,0,15,12,30,1,0,0,0,1,13,14,1,0,0,0
Julian Montoya,Jaguares,6,3,0,15,32,13,46,1,0,0,2,1,11,0,0,0,0,0
Keisuke Moriya,Sunwolves,6,1,2,5,63,11,72,0,2,3,1,1,34,0,0,15,417,1
Matias Moroni,Jaguares,6,3,0,15,44,25,223,2,3,2,8,6,13,0,0,4,63,0
Isireli Naisarani,Rebels,6,2,0,10,92,74,453,9,5,2,20,5,20,2,0,0,0,0
Alex Nankivell,Chiefs,6,0,0,0,55,31,193,0,0,1,5,1,22,0,0,2,71,1
Ruhan Nel,Stormers,6,2,0,10,46,29,250,0,4,1,8,4,15,0,0,2,70,0
Cadeyrn Neville,Brumbies,6,1,0,5,39,23,109,2,1,0,5,1,22,28,2,0,0,0
Alex Newsome,Waratahs,6,1,1,5,60,33,274,0,2,2,7,4,24,0,0,3,103,0
Ruan Nortje,Bulls,6,0,0,0,26,17,55,0,0,0,1,0,9,19,1,0,0,0
Scarra Ntubeni,Stormers,6,1,0,5,26,14,61,0,0,0,0,0,10,0,0,0,0,0
Trevor Nyakane,Bulls,6,0,0,0,16,13,71,1,1,0,1,0,1,0,0,0,0,0
James O'Connor,Reds,6,1,3,5,183,43,316,0,3,9,16,9,111,0,0,34,1240,2
Marvin Orie,Lions,6,0,0,0,54,33,104,0,0,1,1,0,32,26,4,0,0,0
Cameron Orr,Rebels,6,0,0,0,18,12,55,1,0,0,1,1,4,0,0,0,0,0
Hunter Paisami,Reds,6,1,0,5,66,47,383,0,4,1,16,7,15,0,0,3,85,0
Dalton Papali'i,Blues,6,1,0,5,34,21,128,1,2,0,7,5,15,8,0,0,0,0
Embrose Papier,Bulls,6,1,1,5,208,9,112,0,3,1,7,1,181,0,0,15,397,2
Tyler Paul,Sharks,6,1,0,5,64,41,182,0,1,0,4,1,16,4,2,1,8,0
Lucas Paulos,Jaguares,6,0,0,0,30,18,75,2,0,0,0,0,6,6,0,0,0,0
TJ Perenara,Hurricanes,6,1,1,5,348,15,91,0,3,2,2,2,299,0,0,28,645,2
Sergeal Petersen,Stormers,6,3,1,15,43,20,212,0,5,1,4,1,15,0,0,5,57,1
Guido Petti,Jaguares,6,1,0,5,48,32,164,5,1,0,7,0,26,34,5,0,0,0
Matt Philip,Rebels,6,0,0,0,69,52,221,2,1,1,3,5,31,27,5,1,23,0
Joe Powell,Brumbies,6,2,2,10,351,11,78,1,1,3,3,0,306,0,0,21,553,1
Anaru Rangi,Rebels,6,3,0,15,48,33,127,2,3,0,4,0,7,0,0,0,0,0
Sevu Reece,Crusaders,6,4,1,20,76,41,345,1,6,2,14,11,30,0,0,4,119,0
Jamie Roberts,Stormers,6,0,0,0,61,42,238,0,0,2,9,6,18,0,0,1,58,0
Tom Robinson,Blues,6,1,0,5,51,41,216,5,2,0,6,1,17,15,2,0,0,0
Luke Romano,Crusaders,6,2,0,10,48,36,156,4,2,0,5,0,12,7,1,0,0,0
