Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Jaba Bregvadze,Sunwolves,6,2,1,1,0,0,34,9,6,69,0,0,0
Rodrigo Bruni,Jaguares,6,3,2,3,0,0,53,4,0,92,1,3,3
Jan-Henning Campher,Lions,6,2,1,0,0,0,19,7,2,67,0,0,0
Thomas Christie,Crusaders,6,1,1,6,0,0,111,3,5,93,0,5,5
Angus Cottrell,Rebels,6,3,2,4,0,0,35,4,1,87,0,0,0
Jack Dempsey,Waratahs,6,3,2,7,1,0,39,3,2,88,0,0,0
Murray Douglas,Brumbies,6,1,1,3,1,0,48,6,1,87,0,0,0
Thomas du Toit,Sharks,6,2,2,5,0,0,37,3,1,90,2,1,1
Mitchell Dunshea,Crusaders,6,4,3,5,0,0,58,11,4,79,0,0,0
Kurt Eklund,Blues,6,3,2,3,0,0,39,5,2,84,0,0,0
Gareth Evans,Hurricanes,6,2,2,3,0,0,48,4,1,90,0,3,3
Tetera Faulkner,Waratahs,6,0,0,2,0,0,18,0,0,100,0,0,0
Siosaia Fifita,Sunwolves,6,5,4,3,0,0,33,13,6,63,0,1,1
Vaea Fifita,Hurricanes,6,1,0,4,2,0,31,8,1,77,0,0,0
Damien Fitzpatrick,Waratahs,6,3,0,1,0,0,28,1,3,87,0,0,0
Devan Flanders,Hurricanes,6,0,0,2,0,0,18,3,1,81,0,1,1
Lalakai Foketi,Waratahs,6,3,2,2,0,0,17,3,1,80,0,0,0
Warrick Gelant,Bulls,6,9,11,3,0,0,16,7,2,64,0,0,0
Blake Gibson,Blues,6,2,2,2,0,0,57,9,3,82,0,2,2
Lizo Gqoboka,Bulls,6,0,0,4,0,0,25,2,2,86,0,0,0
Cullen Grace,Crusaders,6,3,3,3,0,0,53,11,1,81,1,0,0
Tyrone Green,Lions,6,7,3,1,0,0,30,9,1,75,0,0,0
Richard Hardwick,Rebels,6,3,3,0,0,0,35,7,1,81,0,3,3
Will Harrison,Waratahs,6,2,3,3,0,0,41,9,3,77,0,0,0
Dane Haylett-Petty,Rebels,6,2,2,2,0,0,13,5,1,68,0,0,0
Ross Haylett-Petty,Rebels,6,2,1,4,0,0,46,5,2,86,0,0,0
Bryce Hegarty,Reds,6,4,3,0,0,0,12,2,1,80,0,0,0
Wiehahn Herbst,Bulls,6,1,2,5,0,0,11,3,0,78,0,0,0
Jed Holloway,Waratahs,6,3,5,2,0,0,35,2,2,89,0,0,0
Michael Hooper,Waratahs,6,2,2,7,0,0,85,8,4,87,2,3,3
Karmichael Hunt,Waratahs,6,5,5,2,0,0,43,12,2,75,0,0,0
Pieter Jansen,Lions,6,8,4,1,0,0,20,5,2,74,0,0,0
