Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Santiago Chocobares,Jaguares,5,0,0,0,0,-,0,0,-,0,0,0,0
Andries Coetzee,Lions,5,1,1,0,0,100,0,0,-,7,10,484,0
Jaco Coetzee,Stormers,5,0,0,0,0,-,0,0,-,0,0,0,0
Mike Collins,Highlanders,5,0,0,0,0,-,0,0,-,10,8,158,1
Liam Coltman,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Cruden,Chiefs,5,8,11,5,6,76,1,1,100,39,22,718,0
James Dargaville,Sunwolves,5,0,0,0,0,-,0,0,-,5,5,144,0
Hacjivah Dayimani,Lions,5,0,0,0,0,-,0,0,-,0,1,0,0
Ash Dixon,Highlanders,5,0,0,0,0,-,0,0,-,0,0,0,0
Justin Downey,Sunwolves,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitchell Drummond,Crusaders,5,1,1,0,0,100,0,0,-,2,12,255,0
Jean-Luc du Plessis,Stormers,5,1,1,0,0,100,0,0,-,2,8,256,0
Johan du Toit,Stormers,5,0,0,0,0,-,0,0,-,0,0,0,0
Pieter-Steph du Toit,Stormers,5,0,0,0,0,-,0,0,-,0,0,0,0
JJ Engelbrecht,Sunwolves,5,0,0,0,0,-,0,0,-,0,2,28,0
Braydon Ennor,Crusaders,5,0,0,0,0,-,0,0,-,20,4,44,1
Leicester Fainga'anuku,Crusaders,5,0,0,0,0,-,0,0,-,10,3,91,0
Chris Feauai-Sautia,Reds,5,0,0,0,0,-,0,0,-,15,1,21,0
Alex Fidow,Hurricanes,5,0,0,0,0,-,0,0,-,5,0,0,0
Ross Geldenhuys,Chiefs,5,0,0,0,0,-,0,0,-,0,0,0,0
Matt Gibbon,Rebels,5,0,0,0,0,-,0,0,-,0,0,0,0
Jack Goodhue,Crusaders,5,0,0,0,0,-,0,0,-,5,4,73,0
Wes Goosen,Hurricanes,5,0,0,0,0,-,0,0,-,5,1,45,0
Bryn Hall,Crusaders,5,2,2,0,0,100,0,0,-,4,21,490,0
Cornal Hendricks,Bulls,5,0,0,0,0,-,0,0,-,10,5,106,0
Harry Hockings,Reds,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Hunt,Highlanders,5,1,3,1,1,50,0,0,-,5,32,907,1
Josh Ioane,Highlanders,5,5,8,6,8,68,0,0,-,33,10,231,0
