Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Matias Moroni,JAG,6,4,3,2,0,0,33,7,4,75,0,2,2
Isireli Naisarani,REB,6,3,3,5,0,0,55,10,1,83,0,3,3
Alex Nankivell,CHI,6,3,3,1,0,0,34,5,4,79,0,0,0
Ruhan Nel,STO,6,6,5,2,0,0,26,8,3,70,0,0,0
Cadeyrn Neville,BRU,6,2,3,6,0,0,54,0,1,98,0,1,1
Alex Newsome,WAR,6,4,2,3,0,0,29,11,5,64,1,0,0
Ruan Nortje,BUL,6,2,1,3,0,0,37,3,2,88,0,0,0
Scarra Ntubeni,STO,6,4,1,2,0,0,42,9,1,80,0,0,0
Trevor Nyakane,BUL,6,0,0,4,0,0,23,1,1,92,0,2,2
James O'Connor,RED,6,7,9,0,0,0,28,5,0,84,0,0,0
Marvin Orie,LIO,6,5,4,3,0,0,50,10,4,78,0,0,0
Cameron Orr,REB,6,2,2,1,0,0,13,2,3,72,0,0,0
Hunter Paisami,RED,6,5,5,2,0,0,31,7,5,72,1,0,0
Dalton Papali'i,BLU,6,2,2,3,0,0,46,1,7,85,2,0,0
Embrose Papier,BUL,6,0,0,2,0,0,17,3,4,70,0,0,0
Tyler Paul,SHA,6,1,1,2,0,0,34,4,0,89,2,0,0
Lucas Paulos,JAG,6,4,3,1,0,0,37,4,0,90,1,0,0
TJ Perenara,HUR,6,3,1,3,1,0,31,7,2,77,0,2,2
Sergeal Petersen,STO,6,4,2,3,0,0,15,7,1,65,0,0,0
Guido Petti,JAG,6,3,2,1,0,0,36,0,2,94,0,0,0
Matt Philip,REB,6,6,4,5,0,0,39,2,3,88,0,0,0
Joe Powell,BRU,6,1,1,2,0,0,41,6,2,83,0,0,0
Anaru Rangi,REB,6,6,2,4,0,0,34,8,5,72,1,0,0
Sevu Reece,CRU,6,7,5,2,1,0,21,8,4,63,0,0,0
Jamie Roberts,STO,6,2,2,1,0,0,40,7,1,83,0,0,0
Tom Robinson,BLU,6,3,1,2,0,0,47,8,7,75,1,0,0
Luke Romano,CRU,6,3,2,6,0,0,25,2,1,89,1,0,0
Aiden Ross,CHI,6,1,1,6,0,0,60,8,1,86,0,0,0
Carlu Sadie,LIO,6,0,0,7,0,0,27,2,2,87,0,1,1
Naoto Saito,SUN,6,2,3,0,0,0,17,5,2,70,0,0,0
Peter Samu,BRU,6,3,3,4,0,0,45,7,6,77,1,0,0
Tom Sanders,CRU,6,4,3,6,1,0,61,9,5,81,1,1,1
Jake Schatz,SUN,6,2,1,4,0,0,44,7,8,74,0,0,0
Marnus Schoeman,LIO,6,5,4,7,0,0,57,6,5,83,5,3,3
Joel Sclavi,JAG,6,0,0,4,0,0,16,2,1,84,0,0,0
Angus Scott-Young,RED,6,1,1,4,0,0,46,4,2,88,0,0,0
Seabelo Senatla,STO,6,1,1,1,0,0,27,9,3,69,0,1,1
Sithembiso Sithole,LIO,6,0,0,1,0,0,14,0,0,100,0,0,0
James Slipper,BRU,6,1,0,2,1,0,37,3,5,82,0,0,0
Dylan Smith,LIO,6,0,0,0,0,0,33,6,0,84,0,0,0
Fletcher Smith,HUR,6,5,5,2,0,0,12,4,2,66,0,0,0
Jean-Pierre Smith,RED,6,2,2,4,0,0,36,4,1,87,0,0,0
Hoskins Sotutu,BLU,6,5,8,5,2,0,39,3,3,86,0,2,2
Rosko Specman,BUL,6,4,5,3,0,0,16,3,5,66,0,0,0
Tom Staniforth,WAR,6,1,1,2,0,0,69,3,3,92,0,0,0
Morne Steyn,BUL,6,4,4,1,0,0,35,4,3,83,0,0,0
Michael Stolberg,SUN,6,5,4,4,0,0,74,12,5,81,0,0,0
Joshua Strauss,BUL,6,3,3,4,0,0,46,3,3,88,0,0,0
Lachlan Swinton,WAR,6,6,6,4,1,0,57,10,7,77,0,0,0
Samisoni Taukei'aho,CHI,6,4,1,3,0,0,35,5,4,79,1,0,0
Karl Tu'inukuafe,BLU,6,2,1,8,0,0,20,6,0,76,0,0,0
Patrick Tuipulotu,BLU,6,6,7,2,0,0,44,6,1,86,0,0,0
Ofa Tu'ungafasi,BLU,6,1,1,4,0,0,36,3,1,90,0,1,1
Rob Valetini,BRU,6,0,0,3,0,0,45,11,5,73,0,2,2
Morne van den Berg,LIO,6,4,3,0,0,0,12,4,5,57,0,1,1
Wilhelm van der Sluys,LIO,6,2,1,2,0,0,11,3,0,78,0,0,0
Ernst Van Rhyn,STO,6,2,1,1,0,0,29,9,1,74,0,0,0
Conraad Van Vuuren,SUN,6,0,0,6,0,0,39,9,6,72,0,0,0
Hencus van Wyk,SUN,6,3,4,0,0,0,28,5,1,82,1,0,0
Ivan van Zyl,BUL,6,2,2,1,0,0,15,1,3,78,0,0,0
Henco Venter,SHA,6,0,0,3,0,0,17,3,4,70,0,0,0
James Venter,SHA,6,1,1,3,0,0,66,0,3,95,2,1,1
Jaco Visagie,BUL,6,5,0,3,0,0,45,12,2,76,0,0,0
Mayco Vivas,JAG,6,0,0,3,0,0,31,3,0,91,0,0,0
Michael Wells,REB,6,0,1,1,0,0,38,1,3,90,0,1,1
Damian Willemse,STO,6,10,9,3,0,0,33,11,1,73,0,0,0
Kotaro Yatabe,SUN,6,1,1,3,0,0,39,10,5,72,0,0,0
Robbie Abel,WAR,5,2,2,2,0,0,28,3,3,82,2,2,2
Jarred Adams,SUN,5,0,0,4,0,0,23,5,0,82,0,1,1
Jermaine Ainsley,REB,5,0,0,5,0,0,37,2,1,92,0,0,0
Michael Ala'alatoa,CRU,5,1,2,5,0,0,44,6,2,84,0,0,0
Solomon Alaimalo,CHI,5,1,1,5,0,0,16,5,1,72,0,0,0
Garth April,SUN,5,4,4,0,0,0,12,9,2,52,0,0,0
Juarno Augustus,STO,5,4,1,1,0,0,53,5,2,88,0,0,0
Jordie Barrett,HUR,5,5,5,2,1,0,17,5,1,73,1,0,0
Te Ariki Ben-Nicholas,HIG,5,2,2,1,0,0,19,5,2,73,0,0,0
James Blackwell,HUR,5,3,3,1,0,0,29,14,0,67,0,0,0
Jamie Booth,HUR,5,3,3,0,0,0,17,1,2,85,1,0,0
Lachlan Boshier,CHI,5,3,2,4,0,0,62,4,3,89,3,10,10
George Bridge,CRU,5,9,12,1,0,0,29,1,3,87,0,1,1
Mitchell Brown,CHI,5,1,1,5,0,0,76,4,6,88,0,0,0
Brett Cameron,CRU,5,2,2,0,0,0,9,4,1,64,0,0,0
Sam Cane,CHI,5,0,0,4,0,0,70,10,0,87,1,1,1
Santiago Chocobares,JAG,5,3,3,0,0,0,12,1,0,92,0,0,0
Andries Coetzee,LIO,5,2,1,0,0,0,3,4,3,30,0,0,0
Jaco Coetzee,STO,5,1,1,4,0,0,30,2,0,93,1,1,1
Mike Collins,HIG,5,2,3,2,0,0,14,1,4,73,0,0,0
Liam Coltman,HIG,5,3,1,1,0,0,36,1,2,92,0,1,1
Aaron Cruden,CHI,5,3,2,1,0,0,37,11,3,72,0,2,2
James Dargaville,SUN,5,6,5,2,0,0,20,13,3,55,0,0,0
Hacjivah Dayimani,LIO,5,2,2,1,0,0,11,2,1,78,0,0,0
Ash Dixon,HIG,5,2,0,0,0,0,23,1,3,85,0,2,2
Justin Downey,SUN,5,4,3,3,0,0,47,4,4,85,1,1,1
Mitchell Drummond,CRU,5,0,0,1,0,0,23,4,6,69,0,0,0
Jean-Luc du Plessis,STO,5,1,1,0,0,0,8,3,0,72,0,0,0
Johan du Toit,STO,5,2,1,3,1,0,31,2,2,88,0,0,0
Pieter-Steph du Toit,STO,5,2,1,2,0,0,66,14,4,78,0,0,0
JJ Engelbrecht,SUN,5,4,5,0,0,0,14,5,4,60,0,0,0
Braydon Ennor,CRU,5,1,2,1,0,0,37,7,3,78,0,0,0
Leicester Fainga'anuku,CRU,5,5,6,2,0,0,22,7,2,70,0,0,0
Chris Feauai-Sautia,RED,5,1,2,3,1,0,16,2,3,76,0,0,0
Alex Fidow,HUR,5,1,1,1,0,0,31,4,2,83,0,0,0
Ross Geldenhuys,CHI,5,0,0,1,0,0,16,0,0,100,0,0,0
Matt Gibbon,REB,5,2,2,4,0,0,26,5,0,83,1,1,1
Jack Goodhue,CRU,5,2,2,0,0,0,35,6,3,79,1,0,0
Wes Goosen,HUR,5,4,4,1,0,0,23,5,2,76,0,0,0
Bryn Hall,CRU,5,1,1,1,0,0,15,4,3,68,0,0,0
