Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Karl Tu'inukuafe,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Patrick Tuipulotu,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Ofa Tu'ungafasi,BLU,6,0,0,0,0,-,0,0,-,0,0,0,0
Rob Valetini,BRU,6,0,0,0,0,-,0,0,-,5,0,0,0
Morne van den Berg,LIO,6,0,0,0,0,-,0,0,-,0,5,64,2
Wilhelm van der Sluys,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Ernst Van Rhyn,STO,6,0,0,0,0,-,0,0,-,0,0,0,0
Conraad Van Vuuren,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Hencus van Wyk,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Ivan van Zyl,BUL,6,0,0,0,0,-,0,0,-,0,11,271,0
Henco Venter,SHA,6,0,0,0,0,-,0,0,-,0,0,0,0
James Venter,SHA,6,0,0,0,0,-,0,0,-,5,0,0,0
Jaco Visagie,BUL,6,0,0,0,0,-,0,0,-,5,0,0,0
Mayco Vivas,JAG,6,0,0,0,0,-,0,0,-,0,0,0,0
Michael Wells,REB,6,0,0,0,0,-,0,0,-,0,0,0,0
Damian Willemse,STO,6,9,14,6,9,65,0,0,-,41,41,1360,1
Kotaro Yatabe,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Robbie Abel,WAR,5,0,0,0,0,-,0,0,-,0,0,0,0
Jarred Adams,SUN,5,0,0,0,0,-,0,0,-,0,0,0,0
Jermaine Ainsley,REB,5,0,0,0,0,-,0,0,-,0,0,0,0
Michael Ala'alatoa,CRU,5,0,0,0,0,-,0,0,-,0,0,0,0
Solomon Alaimalo,CHI,5,0,0,0,0,-,0,0,-,20,2,72,0
Garth April,SUN,5,8,11,1,1,75,0,0,-,34,29,925,3
Juarno Augustus,STO,5,0,0,0,0,-,0,0,-,10,0,0,0
Jordie Barrett,HUR,5,9,10,8,11,80,0,1,0,42,40,1502,1
Te Ariki Ben-Nicholas,HIG,5,0,0,0,0,-,0,0,-,5,0,0,0
James Blackwell,HUR,5,0,0,0,0,-,0,0,-,0,0,0,0
Jamie Booth,HUR,5,0,0,0,0,-,0,0,-,5,10,181,2
Lachlan Boshier,CHI,5,0,0,0,0,-,0,0,-,15,0,0,0
George Bridge,CRU,5,0,0,0,0,-,0,0,-,15,3,79,0
Mitchell Brown,CHI,5,0,0,0,0,-,0,0,-,0,1,13,0
Brett Cameron,CRU,5,5,5,0,0,100,0,0,-,10,5,180,1
Sam Cane,CHI,5,0,0,0,0,-,0,0,-,0,0,0,0
Santiago Chocobares,JAG,5,0,0,0,0,-,0,0,-,0,0,0,0
Andries Coetzee,LIO,5,1,1,0,0,100,0,0,-,7,10,484,0
Jaco Coetzee,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
Mike Collins,HIG,5,0,0,0,0,-,0,0,-,10,8,158,1
Liam Coltman,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Cruden,CHI,5,8,11,5,6,76,1,1,100,39,22,718,0
James Dargaville,SUN,5,0,0,0,0,-,0,0,-,5,5,144,0
Hacjivah Dayimani,LIO,5,0,0,0,0,-,0,0,-,0,1,0,0
Ash Dixon,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Justin Downey,SUN,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitchell Drummond,CRU,5,1,1,0,0,100,0,0,-,2,12,255,0
Jean-Luc du Plessis,STO,5,1,1,0,0,100,0,0,-,2,8,256,0
Johan du Toit,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
Pieter-Steph du Toit,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
JJ Engelbrecht,SUN,5,0,0,0,0,-,0,0,-,0,2,28,0
Braydon Ennor,CRU,5,0,0,0,0,-,0,0,-,20,4,44,1
Leicester Fainga'anuku,CRU,5,0,0,0,0,-,0,0,-,10,3,91,0
Chris Feauai-Sautia,RED,5,0,0,0,0,-,0,0,-,15,1,21,0
Alex Fidow,HUR,5,0,0,0,0,-,0,0,-,5,0,0,0
Ross Geldenhuys,CHI,5,0,0,0,0,-,0,0,-,0,0,0,0
Matt Gibbon,REB,5,0,0,0,0,-,0,0,-,0,0,0,0
Jack Goodhue,CRU,5,0,0,0,0,-,0,0,-,5,4,73,0
Wes Goosen,HUR,5,0,0,0,0,-,0,0,-,5,1,45,0
Bryn Hall,CRU,5,2,2,0,0,100,0,0,-,4,21,490,0
Cornal Hendricks,BUL,5,0,0,0,0,-,0,0,-,10,5,106,0
Harry Hockings,RED,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Hunt,HIG,5,1,3,1,1,50,0,0,-,5,32,907,1
Josh Ioane,HIG,5,5,8,6,8,68,0,0,-,33,10,231,0
Mitch Jacobson,SUN,5,0,0,0,0,-,0,0,-,0,0,0,0
Oliver Jager,CRU,5,0,0,0,0,-,0,0,-,0,0,0,0
Herschel Jantjies,STO,5,0,0,0,0,-,0,0,-,15,30,666,3
Harry Johnson-Holmes,WAR,5,0,0,0,0,-,0,0,-,5,0,0,0
Ayden Johnston,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Karpik,CHI,5,0,0,0,0,-,0,0,-,0,1,9,0
Gideon Koegelenberg,REB,5,0,0,0,0,-,0,0,-,0,0,0,0
Manie Libbok,BUL,5,5,8,0,0,62,0,0,-,10,8,235,2
Anton Lienert-Brown,CHI,5,0,0,0,0,-,0,0,-,10,1,21,0
Daniel Lienert-Brown,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Frank Lomani,REB,5,2,3,0,0,66,0,0,-,9,4,33,2
Tyrel Lomax,HUR,5,0,0,0,0,-,0,0,-,0,0,0,0
Ryan Louwrens,REB,5,0,0,0,0,-,0,0,-,0,20,466,1
Efitusi Ma'afu,SUN,5,0,0,0,0,-,0,0,-,5,0,0,0
Godlen Masimla,STO,5,0,0,0,0,-,0,0,-,5,5,101,1
Ryan McCauley,WAR,5,0,0,0,0,-,0,0,-,0,0,0,0
Josh McKay,HIG,5,0,0,0,0,-,0,0,-,5,7,222,1
Santiago Medrano,JAG,5,0,0,0,0,-,0,0,-,0,0,0,0
Marino Mikaele-Tu'u,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Atunaisa Moli,CHI,5,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Muirhead,BRU,5,0,0,0,0,-,0,0,-,0,0,0,0
Shogo Nakano,SUN,5,0,0,0,0,-,0,0,-,5,1,16,0
Emoni Narawa,BLU,5,0,0,0,0,-,0,0,-,0,2,39,0
Jona Nareki,HIG,5,0,0,0,0,-,0,0,-,15,9,418,0
Mark Nawaqanitawase,WAR,5,0,0,0,0,-,0,0,-,20,6,165,0
Rudy Paige,SUN,5,0,0,0,0,-,0,0,-,0,8,221,0
Jesse Parete,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
James Parsons,BLU,5,0,0,0,0,-,0,0,-,0,0,0,0
Billy Proctor,HUR,5,0,0,0,0,-,0,0,-,0,1,24,0
Manuel Rass,LIO,5,0,0,0,0,-,0,0,-,0,6,163,1
Izack Rodda,RED,5,0,0,0,0,-,0,0,-,0,0,0,0
Juan Schoeman,SHA,5,0,0,0,0,-,0,0,-,0,0,0,0
Ruben Schoeman,LIO,5,0,0,0,0,-,0,0,-,0,0,0,0
Scott Scrafton,HUR,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitch Short,WAR,5,0,0,0,0,-,0,0,-,0,4,103,0
Rob Simmons,WAR,5,0,0,0,0,-,0,0,-,5,0,0,0
Irae Simone,BRU,5,0,0,0,0,-,0,0,-,10,11,287,1
Scott Sio,BRU,5,0,0,0,0,-,0,0,-,0,0,0,0
Courtnall Skosan,LIO,5,0,0,0,0,-,0,0,-,10,2,26,1
Bradley Slater,CHI,5,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Smith,HIG,5,0,0,1,1,100,0,0,-,8,41,873,2
Pita Gus Sowakula,CHI,5,0,0,0,0,-,0,0,-,5,0,0,0
Gerhardus Steenekamp,BUL,5,0,0,0,0,-,0,0,-,0,0,0,0
Madosh Tambwe,SHA,5,0,0,0,0,-,0,0,-,15,1,36,0
Tautalatasi Tasi,SUN,5,0,0,0,0,-,0,0,-,5,1,17,0
Codie Taylor,CRU,5,0,0,0,0,-,0,0,-,5,0,0,0
Ben Te'o,SUN,5,0,0,0,0,-,0,0,-,0,4,98,0
Nahuel Tetaz Chaparro,JAG,5,0,0,0,0,-,0,0,-,0,0,0,0
Siate Tokolahi,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Matt To'omua,REB,5,9,15,6,6,71,0,0,-,36,40,1286,1
Kaleb Trask,CHI,5,3,6,0,0,50,0,0,-,11,13,528,1
Christopher Van Zyl,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
Isaia Walker-Leawere,HUR,5,0,0,0,0,-,0,0,-,0,0,0,0
Jeremy Ward,SHA,5,0,0,0,0,-,0,0,-,0,0,0,0
Brad Weber,CHI,5,0,0,0,0,-,0,0,-,15,25,590,2
Tom Wright,BRU,5,0,0,0,0,-,0,0,-,20,2,39,0
Dane Zander,RED,5,0,0,0,0,-,0,0,-,0,0,0,0
Willem Alberts,LIO,4,0,0,0,0,-,0,0,-,0,0,0,0
Michael Allardice,CHI,4,0,0,0,0,-,0,0,-,0,1,15,0
Tyler Ardron,CHI,4,0,0,0,0,-,0,0,-,0,0,0,0
Fraser Armstrong,HUR,4,0,0,0,0,-,0,0,-,0,0,0,0
Scott Barrett,CRU,4,0,0,0,0,-,0,0,-,0,0,0,0
Gonzalo Bertranou,JAG,4,0,0,0,0,-,0,0,-,0,10,199,2
Otere Black,BLU,4,9,12,8,8,85,0,1,0,42,27,777,0
Sebastian Cancelliere,JAG,4,0,0,0,0,-,0,0,-,5,1,8,0
Santiago Carreras,JAG,4,0,0,0,0,-,0,0,-,5,7,278,0
Tomas Cubelli,JAG,4,0,0,0,0,-,0,0,-,5,16,442,1
Thomas Cusack,BRU,4,0,0,0,0,-,0,0,-,5,0,0,0
Jannie du Plessis,LIO,4,0,0,0,0,-,0,0,-,0,0,0,0
Cabous Eloff,REB,4,0,0,0,0,-,0,0,-,0,0,0,0
Corniel Els,BUL,4,0,0,0,0,-,0,0,-,0,0,0,0
Andries Ferreira,BUL,4,0,0,0,0,-,0,0,-,0,0,0,0
Shannon Frizell,HIG,4,0,0,0,0,-,0,0,-,0,0,0,0
Jake Gordon,WAR,4,0,0,0,0,-,0,0,-,0,16,434,0
Francisco Gorrissen,JAG,4,0,0,0,0,-,0,0,-,0,0,0,0
Kayne Hammington,HIG,4,0,0,0,0,-,0,0,-,0,2,53,0
David Havili,CRU,4,9,13,4,7,65,0,0,-,30,14,308,2
Sione Havili,CRU,4,0,0,0,0,-,0,0,-,10,0,0,0
Dillon Hunt,HIG,4,0,0,0,0,-,0,0,-,5,0,0,0
Rieko Ioane,BLU,4,0,0,0,0,-,0,0,-,20,1,20,0
Juandre Kruger,BUL,4,0,0,0,0,-,0,0,-,0,1,36,0
Tony Lamborn,BLU,4,0,0,0,0,-,0,0,-,5,1,42,0
James Lentjes,HIG,4,0,0,0,0,-,0,0,-,0,0,0,0
Ezekiel Lindenmuth,BLU,4,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Makalio,CRU,4,0,0,0,0,-,0,0,-,0,0,0,0
Juan Cruz Mallia,JAG,4,0,0,0,0,-,0,0,-,0,3,26,2
Scott Malolua,RED,4,0,1,0,0,0,0,0,-,0,6,119,0
Nic Mayhew,SUN,4,0,0,0,0,-,0,0,-,0,0,0,0
Damian McKenzie,CHI,4,8,10,1,3,69,0,0,-,24,22,686,0
Fraser McReight,RED,4,0,0,0,0,-,0,0,-,0,0,0,0
Steven Misa,REB,4,0,0,0,0,-,0,0,-,0,1,20,0
Joe Moody,CRU,4,0,0,0,0,-,0,0,-,5,0,0,0
Richie Mo'unga,CRU,4,3,3,1,1,100,0,0,-,14,20,496,1
Shunsuke Nunomaki,SUN,4,0,0,0,0,-,0,0,-,0,0,0,0
Reuben O'Neill,CHI,4,0,0,0,0,-,0,0,-,0,0,0,0
Jacob Pierce,BLU,4,0,0,0,0,-,0,0,-,0,0,0,0
Pouri Rakete-Stones,HUR,4,0,0,0,0,-,0,0,-,0,0,0,0
Tom Robertson,WAR,4,0,0,0,0,-,0,0,-,0,0,0,0
Divan Rossouw,BUL,4,0,0,0,0,-,0,0,-,0,5,193,1
Jeandre Rudolph,BUL,4,0,0,0,0,-,0,0,-,5,1,27,0
JD Schickerling,STO,4,0,0,0,0,-,0,0,-,0,0,0,0
Santiago Socino,JAG,4,0,0,0,0,-,0,0,-,10,0,0,0
Chad Solomon,STO,4,0,0,0,0,-,0,0,-,0,0,0,0
Ruan Steenkamp,BUL,4,0,0,0,0,-,0,0,-,0,0,0,0
Shaun Stevenson,CHI,4,0,0,0,0,-,0,0,-,15,12,405,2
Te Toiroa Tahuriorangi,CHI,4,0,0,0,0,-,0,0,-,5,11,311,1
Vincent Tshituka,LIO,4,0,0,0,0,-,0,0,-,0,0,0,0
Quinn Tupaea,CHI,4,0,0,0,0,-,0,0,-,5,1,51,0
Tevita Tupou,SUN,4,0,0,0,0,-,0,0,-,0,0,0,0
Isi Tu'ungafasi,CRU,4,0,0,0,0,-,0,0,-,0,0,0,0
Alistair Vermaak,STO,4,0,0,0,0,-,0,0,-,0,0,0,0
Sean Wainui,CHI,4,0,0,0,0,-,0,0,-,10,4,107,0
Andre Warner,LIO,4,0,0,0,0,-,0,0,-,5,18,517,1
Jack Whetton,HIG,4,0,0,0,0,-,0,0,-,0,0,0,0
Cobus Wiese,STO,4,0,0,0,0,-,0,0,-,0,0,0,0
Matias Alemanno,JAG,3,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Carroll,BLU,3,0,0,0,0,-,0,0,-,0,0,0,0
Dane Coles,HUR,3,0,0,0,0,-,0,0,-,5,0,0,0
Filipo Daugunu,RED,3,0,0,0,0,-,0,0,-,0,0,0,0
Jeronimo de la Fuente,JAG,3,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Deegan,REB,3,3,4,1,2,66,0,0,-,14,8,266,0
Bautista Delguy,JAG,3,0,0,0,0,-,0,0,-,0,1,28,0
Joaquin Diaz Bonilla,JAG,3,4,7,1,1,62,0,0,-,11,23,652,0
Josh Dickson,HIG,3,0,0,0,0,-,0,0,-,0,0,0,0
Whetukamokamo Douglas,CRU,3,0,0,0,0,-,0,0,-,0,0,0,0
Tom English,REB,3,0,0,0,0,-,0,0,-,0,2,20,1
Chris Eves,SUN,3,0,0,0,0,-,0,0,-,0,0,0,0
Folau Fainga'a,BRU,3,0,0,0,0,-,0,0,-,25,0,0,0
Jackson Garden-Bachop,HUR,3,1,1,0,0,100,0,0,-,2,21,742,0
Josh Goodhue,BLU,3,0,0,0,0,-,0,0,-,0,0,0,0
Reece Hodge,REB,3,1,1,0,0,100,0,0,-,2,2,81,0
Harry Hoopert,RED,3,0,0,0,0,-,0,0,-,5,0,0,0
Akira Ioane,BLU,3,0,0,0,0,-,0,0,-,5,0,0,0
Will Jordan,CRU,3,0,0,0,0,-,0,0,-,10,10,257,1
Bayley Kuenzle,BRU,3,0,0,0,0,-,0,0,-,0,2,79,0
