|   Year | Location       | Gender   |   Position | Name                      | Nationality    | Continent     | Time_Taken   | Notes   | Time                   | Time_Difference        |
|   1988 | Seoul          | Men      |          3 | Hussein Ahmed Salah       | Djibouti       | Africa        | 2:10:59      | -       | 0 days 02:10:59        | 0 days 00:00:12        |
|   1992 | Barcelona      | Men      |          1 | Hwang Young-Cho           | South Korea    | Asia          | 2:13:23      | -       | 0 days 02:13:23        | NaT                    |
|   1992 | Barcelona      | Men      |          2 | Kōichi Morishita          | Japan          | Asia          | 2:13:45      | -       | 0 days 02:13:45        | 0 days 00:00:22        |
|   1992 | Barcelona      | Men      |          3 | Stephan Freigang          | Germany        | Europe        | 2:14:00      | -       | 0 days 02:14:00        | 0 days 00:00:15        |
|   1996 | Atlanta        | Men      |          1 | Josia Thugwane            | South Africa   | Africa        | 2:12:36      | -       | 0 days 02:12:36        | NaT                    |
|   1996 | Atlanta        | Men      |          2 | Lee Bong-ju               | South Korea    | Asia          | 2:12:39      | -       | 0 days 02:12:39        | 0 days 00:00:03        |
|   1996 | Atlanta        | Men      |          3 | Erick Wainaina            | Kenya          | Africa        | 2:12:44      | -       | 0 days 02:12:44        | 0 days 00:00:05        |
|   2000 | Sydney         | Men      |          1 | Gezahegne Abera           | Ethiopia       | Africa        | 2:10:11      | -       | 0 days 02:10:11        | NaT                    |
|   2000 | Sydney         | Men      |          2 | Erick Wainaina            | Kenya          | Africa        | 2:10:31      | -       | 0 days 02:10:31        | 0 days 00:00:20        |
|   2000 | Sydney         | Men      |          3 | Tesfaye Tola              | Ethiopia       | Africa        | 2:11:10      | -       | 0 days 02:11:10        | NaT                    |
|   2004 | Athens         | Men      |          1 | Stefano Baldini           | Italy          | Europe        | 2:10:55      | -       | 0 days 02:10:55        | NaT                    |
|   2004 | Athens         | Men      |          2 | Meb Keflezighi            | United States  | North America | 2:11:29      | -       | 0 days 02:11:29        | 0 days 00:00:34        |
|   2004 | Athens         | Men      |          3 | Vanderlei de Lima         | Brazil         | South America | 2:12:11      | -       | 0 days 02:12:11        | 0 days 00:00:42        |
|   2008 | Beijing        | Men      |          1 | Samuel Wanjiru            | Kenya          | Africa        | 2:06:32      | OR      | 0 days 02:06:32        | NaT                    |
|   2008 | Beijing        | Men      |          2 | Jaouad Gharib             | Morocco        | Africa        | 2:07:16      | -       | 0 days 02:07:16        | 0 days 00:00:44        |
|   2008 | Beijing        | Men      |          3 | Tsegaye Kebede            | Ethiopia       | Africa        | 2:10:00      | -       | 0 days 02:10:00        | 0 days 00:02:44        |
|   2012 | London         | Men      |          1 | Stephen Kiprotich         | Uganda         | Africa        | 2:08:01      | -       | 0 days 02:08:01        | NaT                    |
|   2012 | London         | Men      |          2 | Abel Kirui                | Kenya          | Africa        | 2:08:27      | -       | 0 days 02:08:27        | 0 days 00:00:26        |
|   2012 | London         | Men      |          3 | Wilson Kipsang Kiprotich  | Kenya          | Africa        | 2:09:37      | -       | 0 days 02:09:37        | 0 days 00:01:10        |
|   2016 | Rio de Janeiro | Men      |          1 | Eliud Kipchoge            | Kenya          | Africa        | 2:08:44      | -       | 0 days 02:08:44        | NaT                    |
|   2016 | Rio de Janeiro | Men      |          2 | Feyisa Lilesa             | Ethiopia       | Africa        | 2:09:54      | -       | 0 days 02:09:54        | 0 days 00:01:10        |
