Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
1924,Paris,Men,11,"Axel Jensen",Denmark,Europe,2:58:44.8,""
1924,Paris,Men,12,"Jean-Baptiste Manhès",France,Europe,3:00:34.0,""
1924,Paris,Men,13,"John Cuthbert",Canada,"North America",3:00:44.6,""
1924,Paris,Men,14,"Victor McAuley",Canada,"North America",3:02:05.4,""
1924,Paris,Men,15,"Marcel Alavoine",Belgium,Europe,3:03:20.0,""
1924,Paris,Men,16,"Frank Wendling","United States","North America",3:05:09.8,""
1924,Paris,Men,17,"Arthur Farrimond","Great Britain",Europe,3:05:15.0,""
1924,Paris,Men,18,"Frank Zuna","United States","North America",3:05:52.2,""
1924,Paris,Men,19,"Harry Phillips","South Africa",Africa,3:07:13.0,""
1924,Paris,Men,20,"Augustinus Broos",Belgium,Europe,3:14:03.0,""
1924,Paris,Men,21,"Waldemar Karlsson",Sweden,Europe,3:14:21.4,""
1924,Paris,Men,22,"Tullio Biscuola",Italy,Europe,3:19:05.0,""
1924,Paris,Men,23,"William Churchill","United States","North America",3:19:18.0,""
1924,Paris,Men,24,"Mohammed Ghermati",France,Europe,3:20:27.0,""
1924,Paris,Men,25,"Charles Mellor","United States","North America",3:24:07.0,""
1924,Paris,Men,26,"Pierre-Georges LeClercq",Belgium,Europe,3:27:54.0,""
1924,Paris,Men,27,"Jack McKenna","Great Britain",Europe,3:30:40.0,""
1924,Paris,Men,28,"Antal Lovas",Hungary,Europe,3:35:24.0,""
1924,Paris,Men,29,"Mahadeo Singh",India,Asia,3:37:36.0,""
1924,Paris,Men,30,"Elmar Reimann",Estonia,Europe,3:40:52.0,""
1928,Amsterdam,Men,1,"Boughera El Ouafi",France,Europe,2:32:57,""
1928,Amsterdam,Men,2,"Manuel Plaza",Chile,"South America",2:33:23,""
1928,Amsterdam,Men,3,"Martti Marttelin",Finland,Europe,2:35:02,""
1928,Amsterdam,Men,4,"Kanematsu Yamada",Japan,Asia,2:35:29,""
1928,Amsterdam,Men,5,"Joie Ray","United States","North America",2:36:04,""
1928,Amsterdam,Men,6,"Seiichiro Tsuda",Japan,Asia,2:36:20,""
1928,Amsterdam,Men,7,"Yrjö Korholin-Koski",Finland,Europe,2:36:40,""
1928,Amsterdam,Men,8,"Sam Ferris","Great Britain",Europe,2:37:41,""
1928,Amsterdam,Men,9,"Albert Michelsen","United States","North America",2:38:56,""
1928,Amsterdam,Men,10,"Clifford Bricker",Canada,"North America",2:39:24,""
1928,Amsterdam,Men,11,"Harry Wood","Great Britain",Europe,2:41:15,""
1928,Amsterdam,Men,12,"Verner Laaksonen",Finland,Europe,2:41:35,""
1928,Amsterdam,Men,13,"Harry Payne","Great Britain",Europe,2:42:39,""
1928,Amsterdam,Men,14,"Eino Rastas",Finland,Europe,2:43:08,""
1928,Amsterdam,Men,15,"Väinö Sipilä",Finland,Europe,2:43:08,""
1928,Amsterdam,Men,16,"Alois Krof",Czechoslovakia,Europe,2:43:18,""
1928,Amsterdam,Men,17,"Johnny Miles",Canada,"North America",2:43:32,""
1928,Amsterdam,Men,18,"Léon Broers",Belgium,Europe,2:44:37,""
